project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,refs,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update
pvtrace,Optical ray tracing for luminescent materials and spectral converter photovoltaic devices.,danieljfarrell,https://github.com/danieljfarrell/pvtrace.git,github,"python,photovoltaics,raytracing,optics,energy",Photovoltaics and Solar Energy,"2021/03/30, 17:10:12",95,2,9,true,Python,,,Python,,",https://doi.org/10.5281/zenodo.592982","2011/01/05, 14:28:41",4870,CUSTOM,0,185,"2023/05/31, 10:41:40",8,25,48,4,341,0,0.5,0.025316455696203,"2020/11/18, 23:04:23",2.1.6,0,5,false,,false,false,"dcambie/LSC-PM_solar_miniplant,danieljfarrell/pvtrace",,,,,,,,,,
SolarPILOT,Solar power tower layout and optimization tool.,NREL,https://github.com/NREL/SolarPILOT.git,github,,Photovoltaics and Solar Energy,"2024/03/06, 17:44:22",41,0,12,true,C++,National Renewable Energy Laboratory,NREL,"C++,HTML,Python,Rich Text Format,CSS,C,CMake,Inno Setup,JavaScript,TeX,Makefile,Shell",https://www.nrel.gov/csp/solarpilot.html,",https://doi.org/10.1016/j.solener.2018.06.063,https://doi.org/10.1016/j.solener.2018.06.063","2017/03/24, 18:22:25",2599,CUSTOM,2,308,"2022/08/08, 19:28:42",18,39,68,0,636,3,0,0.080882352941177,"2019/01/03, 19:40:08",v1.3.2,0,2,false,,false,true,,,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",,,https://avatars.githubusercontent.com/u/1906800?v=4,,,
solar-data-tools,Data analysis tools for working with historical PV solar time-series data sets.,slacgismo,https://github.com/slacgismo/solar-data-tools.git,github,,Photovoltaics and Solar Energy,"2024/05/03, 22:02:40",48,13,14,true,Jupyter Notebook,SLAC GISMo,slacgismo,"Jupyter Notebook,Python,Shell",https://solar-data-tools.readthedocs.io/,",https://zenodo.org/badge/latestdoi/171066536","2019/02/17, 00:28:25",1905,BSD-2-Clause,346,1280,"2024/05/03, 22:02:45",4,127,142,55,2,2,0.5,0.452027695351138,"2024/05/03, 22:04:09",v1.3.2,0,11,false,,true,true,"slacgismo/sdt-pvdb-app,bmeyers/solar-data-tools-app,MichaelHopwood/ForwardForwardOneclass,slaclab/neural-representation-sqw,slacgismo/sg2t,ChrisKre/Photovoltaik_GAN,slacgismo/pv-apache-beam,slacgismo/gismo-cloud-deploy,slacgismo/pv-system-profiler,DuraMAT/pvpro,slacgismo/solar-data-pipeline,slacgismo/StatisticalClearSky,tadatoshi/StatisticalClearSky",,https://github.com/slacgismo,https://gismo.slac.stanford.edu/,"SLAC National Accelerator Laboratory, Menlo Park, CA 94025",,,https://avatars.githubusercontent.com/u/19895500?v=4,,,
SolarPV-DER-simulation-utility,Allows user to run dynamics simulations for solar photovoltaic distributed energy resource connected to a stiff voltage source or to an external program.,tdcosim,https://github.com/tdcosim/SolarPV-DER-simulation-tool.git,github,,Photovoltaics and Solar Energy,"2023/09/29, 01:15:58",33,2,5,true,Python,TDcoSim Team,tdcosim,"Python,Dockerfile",,,"2019/03/19, 21:59:40",1874,CUSTOM,9,225,"2023/09/29, 01:15:59",2,21,35,3,220,0,0,0.013245033112583,,,0,2,false,,false,false,"NREL/PyDSS,tdcosim/TDcoSim",,https://github.com/tdcosim,,Chicago,,,https://avatars.githubusercontent.com/u/52003368?v=4,,,
bifacial_radiance,Toolkit for working with RADIANCE for the ray-trace modeling of Bifacial Photovoltaics.,NREL,https://github.com/NREL/bifacial_radiance.git,github,"radiance,bifacial,photovoltaics,renewable-energy,renewables,gui",Photovoltaics and Solar Energy,"2023/12/04, 03:05:11",80,0,16,true,Python,National Renewable Energy Laboratory,NREL,"Python,C++,TeX,Dockerfile,C,Shell,Makefile,Awk",https://bifacial-radiance.readthedocs.io,",https://doi.org/10.5281/zenodo.3860350,https://doi.org/10.21105/joss.01865\n\n\nPlease,https://zenodo.org/search?page=1&size=20&q=conceptrecid:3860349&all_versions&sort=-version","2017/12/13, 17:56:18",2335,BSD-3-Clause,20,1552,"2024/04/26, 12:20:59",110,153,402,24,10,4,0,0.391857506361323,"2023/03/11, 14:04:01",0.4.2,0,11,false,,false,false,,,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",,,https://avatars.githubusercontent.com/u/1906800?v=4,,,
autoXRD,"A Python package for automatic XRD pattern classification of thin-films, tweaked for small and class-imbalanced datasets.",PV-Lab,https://github.com/PV-Lab/autoXRD.git,github,,Photovoltaics and Solar Energy,"2020/03/04, 18:03:26",48,0,2,false,Python,Accelerated Materials Laboratory for Sustainability,PV-Lab,Python,,",https://doi.org/10.1038/s41524-019-0196-x,https://doi.org/10.1038/s41524-019-0196-x,https://arxiv.org/abs/1811.08425v2","2019/04/23, 19:15:53",1839,Apache-2.0,0,32,"2024/04/26, 12:20:59",1,0,0,0,10,0,0,0.1,"2019/05/24, 16:47:16",1,0,2,false,,false,false,,,https://github.com/PV-Lab,pv.mit.edu,United States of America,,,https://avatars.githubusercontent.com/u/13911947?v=4,,,
BayesProcess,A Python package for Physics informed Bayesian network inference using neural network surrogate model for matching process / variable / performance in solar cells.,PV-Lab,https://github.com/PV-Lab/BayesProcess.git,github,,Photovoltaics and Solar Energy,"2021/08/18, 14:30:54",29,0,1,false,Jupyter Notebook,Accelerated Materials Laboratory for Sustainability,PV-Lab,"Jupyter Notebook,Python",,,"2019/07/09, 04:43:23",1763,MIT,0,17,"2024/04/26, 12:20:59",2,0,0,0,10,0,0,0.230769230769231,,,0,2,false,,false,false,,,https://github.com/PV-Lab,pv.mit.edu,United States of America,,,https://avatars.githubusercontent.com/u/13911947?v=4,,,
solcore5,"A multi-scale, Python-based library for the modeling of solar cells and semiconductor materials.",qpv-research-group,https://github.com/qpv-research-group/solcore5.git,github,"photovoltaic,semiconductor,solar-cells,python,hacktoberfest",Photovoltaics and Solar Energy,"2024/04/04, 10:18:07",131,6,24,true,Python,Quantum Photovoltaics Research Group,qpv-research-group,"Python,Fortran,Meson,Shell",https://www.solcore.solar/,",https://doi.org/10.5281/zenodo.1185316","2017/10/29, 20:13:23",2380,CUSTOM,45,1024,"2024/04/12, 01:02:46",39,162,236,18,24,1,0.5,0.568319226118501,"2023/11/20, 06:39:51",v5.10.0,7,23,false,,true,true,"iclned/SolFlare,ayaan-qadri/sunglass,AlexNDRmac/sunglass,qpv-research-group/sunglass,aidanobeirne/OptiFit,qpv-research-group/rayflare",,https://github.com/qpv-research-group,https://www.qpvgroup.org,"UNSW (Sydney, Australia) and Imperial College London (UK) until 2017",,,https://avatars.githubusercontent.com/u/48552948?v=4,,,
solax,Read energy usage data from the real-time API on Solax solar inverters.,squishykid,https://github.com/squishykid/solax.git,github,"solax,solar,photovoltaic,home-automation,iot,raspberry-pi",Photovoltaics and Solar Energy,"2024/05/04, 21:35:05",88,281,29,true,Python,,,"Python,Shell,HTML",,,"2019/04/09, 04:14:24",1854,MIT,14,69,"2024/05/04, 21:33:23",40,66,104,34,1,11,0,0.418918918918919,"2024/04/01, 06:22:57",v3.1.0,0,19,false,,false,false,"chorty/core-import,magenbrot/core,zomco/core,klatka/home-assistant-core,glombardo-se/home-assistant-core,PaoloMastrobuono-ENGITEL/core,hex7c0/home-assistant_core,angelnu/core,forabi/ha-core,kiwiz/core,pem884/core,iotnba/ha,amitesh-singh/home-assistant-local,Vaskivskyi/ha-core,SaicharanKandukuri/core,larseggert/core,nao-pon/home_assistant_tuya,ardilsercan/hasscore,zayigo/homeassistant-core,klacol/core,Sander0542/home-assistant,benoitlx/core,owen2/core,KaziQuader/Detecting-Refactoring-Python-Code-Smell,Gunni/home-assistant-core,2lambda123/home-assistant-core,SiddharthMurjani/core-dev,waltermarbel/core,micmorin/2023A-Programmation_objet_avancee_UQAC_8INF957,jwillemsen/homeassistantcore,kristof-mattei/core,amattas/hass-core,Godfather95/core,spencermamer/core,CM000n/core,eperdeme/core,Big-Tree/HomeAssistant-OptiSpark,harisraharjo/ha-custom-frontend,klaernie/core,merca/core,Mic92/dream2nix-home-assistant,pillezu/homeassistantM2,Airler/home-assistant-core,k3a/ha_core,tomerh2001/core,tibber/core,alekslyse/core,mrazekv/solax-mqtt,MarcHagen/fork_home-assistant_core,flake-it/flake-friend-evaluator,alphapum/core,StevenLooman/home-assistant,CyberFlameGO/core-4,navnit3366/core-dev,SemonCat/core,cisswolff/core,PolarFox/ha-core,DeliciousHouse/core-canary,Hiosdra/core,VadimDor/VadimDor,vandenberghev/home-assistant,lima-limon-inc/OverlayStats,Redracer93/core,petegallagher/core,kundusurinder/HomeAuto,benbruneau/home-assistant-core,rongquantoh-intel/dependabot-demo,mouyuan123/home-assistant,RACELAND-Automacao-Lda/Homeland,RalphHightower/core,Atrejoe/home-assistant,Secure-Platforms-Lab-W-M/Helion-on-Home-Assistant,projectoperations/home-assistant,downside-up-git/du-core-dev,sarvex/home-assistant-core,bjarnekrottje/ha-core,kaovilai/home-assistant-core,peterbacil/home-assistant-core,fustom/core,kevinterface/home-assistant,youdroid/core,Multipas84/core,MDevM20/core,jwalberg/ha-core,joushx/core,ChadMoran/hass-core,NiklasA95/home-assistant,Kipjr/home-assistant-core,samueltardieu/homeassistant-core,gabe565/core,SukramJ/core,kmplngj/home-assistant-core,jeyrb/home-assistant,MarioRamazzotti/Reisinger,aididhaiqal/core,naycha/home-assistant,octodemo/home-assistant-core,lorek123/home-assistant,charliejones1/core,elijahxb/core,Andre0512/home-assistant,conallob/core,karman-de-lange/hass_broadlink_ac,majacQ/core-1,sipgate-io/home-assistant-core,oikarinen/core,aronpedersen/test,Nyaran/core,joolstorrentecalo/core-1,BenoitAnastay/home-assistant-core,aladin2000/core,MarcJenningsUK/home-assistant,jellespijker/core,rohanmuz2/Home-AI,brenank/home-assistant-core,aptalca/wheels,alidblad/ha-clone,lmendezr/home-assistant-core,bakoorahnin/core,piotr-kubiak/home-assistant,shnolshnol1/core,N-hamdy/home-assistant,mww012/core,Stagie/core,joshuaspence/home-assistant-core,janekbaraniewski/home-assistant,jamescurtin/home-assistant,jfroy/core,stagietek/core,Linean1/Project1,Asuse420/core,u240/core,constructorfleet/home-assistant-loader,eltariel/home-assistant-core,classicvalues/core-2,jeroen84/home-assistant,Nyvek/home-assistant,terrorizer1980/core-2,NisaarAgharia/home.AI,tktf50/core,RubenKelevra/home-assistant_core,rohankumardubey/core,fopina/hass-core,samsunga3888/hass,ekmixon/homeassistant-core,seantrue/core,ronaldburns/home-assistant,yxkj2022/python-core,qyl2021/python-core,cabraliebre/core,cnheider/core,Brianspha/home-assistant,btharper/core,kifeo/core,maruel/core,imchipwood/home-assistant,yoki31/core,savonman/core,sshyran/home-assistant-core,huizebruin/core,theyapps/core,mfugate1/core,sjbelisle/core,mikeyhodl/core,DivanX10/OpenWRT-and-Home-Assistant,linuxserver/wheelie,jisakiel/home-assistant,fleXible/home-assistant,jenniferliddle/core,dewgenenny/core,amnnet/core,informaticacba/home-assistant-core,Grendel7/prometheus-solax-exporter,coltoncat/core,Djelibeybi/home-assistant-core,Swissman1/home-assistant,fredrike/home-assistant,JonanOribe/home-assistant,matholiveira91/home-assistant,austinmroczek/home-assistant,stewart123579/home-assistant-core,SiwatINC/home-assistant-tensorflow,preetyrai11/IOT-HomeAssistance,nickovs/home-assistant,vsevolodpohvalenko/home-assistant,PlumeSolution/core,Danielhiversen/home-assistant,ahayworth/home-assistant,kerstef/home-assistant-core,vasili8m/core,12DEP/hikg,gjohansson-ST/core,paulmonigatti/home-assistant-core,matkastner/core,Antall/core,lbschenkel/home-assistant,12DEP/gfgf,12DEP/hik,artchula/home-assistant,therealpedro/core,blastoise186/core,frankhildebrandt/home-assistant,zeehio/home-assistant,djwmarcx/core,CrossEyeORG/homeassistant,miltos04/core,cyr-ius/home-assistant,DKAutomater/home-assistant,Leviosa-Shades/core,Whoerr/core,fpetillo/home-assistant,qdotme/HomeAssistantRepository,thindiyeh/core,OpenPeerPower/core,joncar/home-assistant,piotrs112/home-assistant,bwghughes/octoclient,Vaarlion/core,Odianosen25/home-assistant,anngel78/core,ties/home-assistant,brentmaxwell/home-assistant,ConnectionMaster/home-assistant,lozoli/myio-integration,NigelRook/home-assistant,glance-/home-assistant,dannysauer/core,Sureshkumartv/core,TheLastGimbus/hass-core,alandtse/home-assistant,Pyhass/core,iracigt/home-assistant,mstovenour/home-assistant-core,jupe/home-assistant,ajk12345-code/home-assistant,derekxxx/core,mshiznitzh/core,DevSecNinja/core,ms32035/home-assistant,Watemlifts/home-assistant,escoand/home-assistant,keithkyle1989/core,mikeodr/core,sdwilsh/home-assistant,Verbalinsurection/Home-Assistant-core,diederikdevries/ha,Platinumwrist/core,Violet26/home-assistant,Omrisnyk/home-assistant,Vman45/home-assistant,PakapongDev/home-assistant,brianjcarroll8/Home-Assistant-Core,gzsjw/HomeAssistantStudy,peternijssen/home-assistant,ZachT1711/home-assistant,hacf-fr/home-assistant-core,tribut/home-assistant,timmo001/core,THATDONFC/home-assistant,DarkFox/home-assistant,sampou/homeassistant,artefolio/HomeAssistant,gpalsingh30/home-assistant-core,briangomez2016/core,84KaliPleXon3/home-assistant-core,mahadevanmani/home-assistant,switchpanel/ha-core,yenerhelvacioglu/homeasistant,Abigiris/home-assistant,bhchew/hass,MumiLila/gittest4,nordicenergy/home-assistant,gentoo-mirror/HomeAssistantRepository,onkelbeh/HomeAssistantRepository,Bulbutta/home-away,peterpanfy/homeassistant-sm,Watemlifts/Platform-Integration,Watemlifts/subsystems-,Watemlifts/Alfa,fabiandevia/home,home-assistant/core",,,,,,,,,,
bifacialvf,Bifacial PV View Factor model for system performance calculation.,NREL,https://github.com/NREL/bifacialvf.git,github,,Photovoltaics and Solar Energy,"2024/03/09, 17:49:24",28,0,7,true,Python,National Renewable Energy Laboratory,NREL,Python,https://bifacialvf.readthedocs.io,",https://zenodo.org/badge/latestdoi/114160149,https://zenodo.org/search?page=1&size=20&q=conceptrecid:6369162&all_versions&sort=-version,https://doi.org/10.5281/zenodo.6369162\n\nBilinear,https://doi.org/10.1016/j.solener.2005.06.010\n\n","2017/12/13, 19:23:14",2335,CUSTOM,2,200,"2024/03/09, 17:47:12",16,25,41,1,57,2,0,0.560975609756098,"2022/09/28, 21:45:08",0.1.8.1,0,5,false,,false,false,,,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",,,https://avatars.githubusercontent.com/u/1906800?v=4,,,
solaR,Allows for reproducible research both for photovoltaics systems performance and solar radiation.,oscarperpinan,https://github.com/oscarperpinan/solar.git,github,,Photovoltaics and Solar Energy,"2021/10/18, 22:50:16",34,0,1,false,R,,,R,http://oscarperpinan.github.io/solar/,",https://doi.org/10.18637/jss.v050.i09,https://doi.org/10.18637/jss.v050.i09\n\n,https://doi.org/10.18637/jss.v050.i09\n\nA","2013/07/28, 14:14:41",3935,GPL-3.0,0,220,"2020/05/24, 17:51:32",6,0,12,0,1442,0,0,0,,,0,1,false,,false,false,,,,,,,,,,,
SolarTherm,Solar thermal power/fuel station performance simulation and optimization using Modelica.,SolarTherm,https://github.com/SolarTherm/SolarTherm.git,github,"engineering,energy,solar,thermodynamics,optimisation,simulation,modelica,modelica-library",Photovoltaics and Solar Energy,"2023/11/02, 06:15:44",33,0,6,true,Modelica,,SolarTherm,"Modelica,Python,C,Motoko,Shell",,,"2015/07/21, 05:23:10",3212,LGPL-3.0,64,1414,"2023/11/01, 11:36:17",51,19,64,7,187,7,0.2,0.600225225225225,,,0,8,false,,false,false,,,https://github.com/SolarTherm,,,,,https://avatars.githubusercontent.com/u/15701216?v=4,,,
LibreSolar,Firmware for LibreSolar BMS boards based on bq769x0 or ISL94202.,LibreSolar,https://github.com/LibreSolar/bms-firmware.git,github,,Photovoltaics and Solar Energy,"2024/04/08, 20:27:02",130,0,52,true,C,Libre Solar Project,LibreSolar,"C,CMake,Shell",https://libre.solar/bms-firmware/,,"2016/11/30, 11:19:50",2714,Apache-2.0,59,341,"2024/03/19, 14:07:17",13,26,55,31,48,1,2,0.044117647058824,"2023/09/11, 15:01:30",v23.1,0,7,false,,false,false,,,https://github.com/LibreSolar,https://libre.solar,"Hamburg, Germany",,,https://avatars.githubusercontent.com/u/17674115?v=4,,,
Charge Controller Firmware,Firmware for LibreSolar MPPT/PWM charge controllers.,LibreSolar,https://github.com/LibreSolar/charge-controller-firmware.git,github,,Photovoltaics and Solar Energy,"2023/08/16, 11:34:30",131,0,17,true,C++,Libre Solar Project,LibreSolar,"C++,C,CMake,Python,Shell,Batchfile",https://libre.solar/charge-controller-firmware/,,"2016/08/02, 12:03:35",2834,Apache-2.0,1,510,"2023/08/16, 11:34:31",10,80,121,1,264,1,1.3,0.108829568788501,"2021/04/14, 11:02:11",v21.0,0,11,false,,true,true,,,https://github.com/LibreSolar,https://libre.solar,"Hamburg, Germany",,,https://avatars.githubusercontent.com/u/17674115?v=4,,,
pvoutput,Python code for downloading PV data from PVOutput.org.,openclimatefix,https://github.com/openclimatefix/pvoutput.git,github,"pvoutput,python,python-library,solar,nowcasting",Photovoltaics and Solar Energy,"2023/07/05, 10:11:51",32,1,6,true,Python,Open Climate Fix,openclimatefix,Python,,,"2019/07/16, 16:51:03",1755,Apache-2.0,4,350,"2023/10/30, 18:31:23",34,52,91,1,188,6,0.6,0.673306772908367,"2023/07/05, 10:12:58",v0.1.30,0,12,false,,false,false,openclimatefix/PVConsumer,,https://github.com/openclimatefix,openclimatefix.org,London,,,https://avatars.githubusercontent.com/u/48357542?v=4,,,
solarpy,"This package aims to provide a reliable solar radiation model, mainly based on the work of Duffie, J.A., and Beckman, W. A., 1974, ""Solar energy thermal processes"".",aqreed,https://github.com/aqreed/solarpy.git,github,"solar-energy,solar-cells,sun-position,beam-irradiance,photovoltaic,python,modeling,simulation,flight-simulation",Photovoltaics and Solar Energy,"2019/09/22, 20:12:22",48,10,14,false,Python,,,Python,,,"2019/07/28, 15:53:41",1744,MIT,0,257,"2019/08/13, 12:22:22",8,0,1,0,1728,1,0,0,,,0,1,false,,false,false,"TalweSingh/comparative-analysis-of-solar-PV-production-forecasting-models,tbongiov/mettoolbox_tb,kcpgilbert/Weather-Expert-Solar-Forecasting,robinjo78/solarBAG,timcera/mettoolbox,kmiecikmichal/PV_ENERGY_PRODUCTION_FORECASTING,DCC-Lab/projetNeige,samurai-madrid/data-processing,samurai-madrid/reinforcement-learning,ebasanez/samur.ai",,,,,,,,,,
solariot,Leverage your IoT enabled Solar PV Inverter to stream your solar energy usage data to a real time dashboard.,meltaxa,https://github.com/meltaxa/solariot.git,github,"freeboard,iot,solar-energy,sungrow-inverter,dashboard,pvoutput,modbus-sungrow,dweet,influxdb,telemetry",Photovoltaics and Solar Energy,"2023/03/15, 09:33:33",195,0,32,true,Python,,,"Python,JavaScript,Dockerfile",https://solariot.live,,"2017/09/15, 12:26:12",2425,MIT,0,158,"2023/03/21, 15:57:53",15,36,69,1,412,2,0.1,0.51063829787234,,,0,11,true,github,false,false,,,,,,,,,,,
pvanalytics,"Quality control, filtering, feature labeling, and other tools for working with data from photovoltaic energy systems.",pvlib,https://github.com/pvlib/pvanalytics.git,github,"photovoltaic,python,renewable-energy,renewables,solar-energy",Photovoltaics and Solar Energy,"2024/02/14, 17:57:48",85,9,15,true,Python,pvlib,pvlib,Python,https://pvanalytics.readthedocs.io,",https://doi.org/10.5281/zenodo.6110569","2020/02/18, 17:10:34",1538,MIT,16,317,"2024/02/14, 17:57:50",34,122,176,22,81,6,2.4,0.539622641509434,"2024/02/14, 17:58:33",v0.2.0,0,9,false,,true,false,"mgeier/pvOps,AlexandreHugoMathieu/pvfault_detection_solar_academy,rseng/rsepedia-analysis,hmendo/chrpa,hmendo/chrpa_test,slacgismo/pv-validation-hub,kperrynrel/time-shift-validation-hub,AlexandreHugoMathieu/pvfault_detection,sandialabs/pvOps",,https://github.com/pvlib,,,,,https://avatars.githubusercontent.com/u/11037261?v=4,,,
IonMonger,A free and fast perovskite solar cell simulator with coupled ion vacancy and charge carrier dynamics in one dimension.,PerovskiteSCModelling,https://github.com/PerovskiteSCModelling/IonMonger.git,github,"perovskite-solar-cells,halide-ion-migration",Photovoltaics and Solar Energy,"2022/12/07, 13:12:54",32,0,4,true,MATLAB,,PerovskiteSCModelling,"MATLAB,Python,TeX",https://sites.google.com/view/ionmonger/home,",https://doi.org/10.1039/C8EE01576G,https://doi.org/10.1016/j.apm.2018.06.051","2019/08/22, 10:21:56",1719,AGPL-3.0,0,69,"2023/09/05, 12:41:46",0,27,29,3,244,0,0.7,0.092592592592593,"2022/08/02, 14:24:06",v2.0,0,2,false,,false,false,,,https://github.com/PerovskiteSCModelling,,,,,https://avatars.githubusercontent.com/u/45872822?v=4,,,
rayflare,"Provide a flexible, user-friendly Python environment to model complex optical stacks, with a focus on solar cells.",qpv-research-group,https://github.com/qpv-research-group/rayflare.git,github,"physics,optics,raytracing,ray-tracing,rigorous-coupled-wave,transfer-matrix-method,solar-cells,multiscale-simulation",Photovoltaics and Solar Energy,"2024/03/12, 06:25:17",30,2,12,true,Python,Quantum Photovoltaics Research Group,qpv-research-group,"Python,TeX",,",https://doi.org/10.21105/joss.03460","2019/06/12, 20:01:41",1789,CUSTOM,17,473,"2024/04/12, 13:35:34",14,36,55,7,24,3,0.1,0.002801120448179,"2023/11/20, 00:02:16",v1.2.1,0,2,false,,true,true,"iclned/SolFlare,qpv-research-group/solcore-education",,https://github.com/qpv-research-group,https://www.qpvgroup.org,"UNSW (Sydney, Australia) and Imperial College London (UK) until 2017",,,https://avatars.githubusercontent.com/u/48552948?v=4,,,
pv-terms,Contains nomenclature for PV-relevant terms that are used in modeling and data analysis for PV systems.,DuraMAT,https://github.com/DuraMAT/pv-terms.git,github,,Photovoltaics and Solar Energy,"2020/08/03, 18:19:48",15,0,5,false,Python,,DuraMAT,"Python,Batchfile,Makefile,HTML",,,"2020/03/13, 13:05:13",1515,BSD-3-Clause,0,158,"2020/07/23, 14:09:44",13,7,17,0,1383,0,0,0.576923076923077,,,0,4,false,,false,false,,,https://github.com/DuraMAT,,,,,https://avatars.githubusercontent.com/u/55461754?v=4,,,
StatisticalClearSky,Statistical estimation of a clear sky signal from PV system power data.,slacgismo,https://github.com/slacgismo/StatisticalClearSky.git,github,,Photovoltaics and Solar Energy,"2022/06/23, 21:50:25",28,3,4,false,Jupyter Notebook,SLAC GISMo,slacgismo,"Jupyter Notebook,Python,Shell",,",https://zenodo.org/badge/latestdoi/117483201,https://arxiv.org/abs/1907.08279","2018/01/15, 01:38:46",2303,BSD-2-Clause,0,530,"2022/06/23, 21:53:13",5,39,41,0,682,2,0.1,0.386075949367089,"2022/06/23, 22:03:19",v0.4.6,0,5,false,,false,true,"MichaelHopwood/ForwardForwardOneclass,slacgismo/solar-data-tools,slacgismo/solar-data-pipeline",,https://github.com/slacgismo,https://gismo.slac.stanford.edu/,"SLAC National Accelerator Laboratory, Menlo Park, CA 94025",,,https://avatars.githubusercontent.com/u/19895500?v=4,,,
Photovoltaic_Fault_Detector,Model-definition is a deep learning application for fault detection in photovoltaic plants.,RentadroneCL,https://github.com/RentadroneCL/Photovoltaic_Fault_Detector.git,github,"yolo3,detector-model,model-detection,detection-boxes,fault-detection,solar-energy,photovoltaic-panels,deep-learning,keras,object-detection,tensorflow",Photovoltaics and Solar Energy,"2023/01/17, 13:43:26",36,0,12,false,Jupyter Notebook,simplemap.io (former Rentadrone.cl),RentadroneCL,"Jupyter Notebook,HTML,Python",https://simplemap.io,",https://arxiv.org/abs/1512.02325,https://arxiv.org/abs/1804.02767","2020/01/16, 13:50:45",1572,GPL-3.0,0,152,"2023/04/11, 14:42:56",6,27,32,0,391,2,0,0.198275862068966,,,2,4,false,,true,true,,,https://github.com/RentadroneCL,https://simplemap.io,"Santiago, Chile",,,https://avatars.githubusercontent.com/u/32961692?v=4,,,
nasapower,"Aims to make it quick and easy to automate downloading NASA-POWER global meteorology, surface solar energy and climatology data in your R session as a tidy data frame tibble object for analysis and use in modeling or other purposes.",ropensci,https://github.com/ropensci/nasapower.git,github,"agroclimatology,weather,r,nasa-power,nasa,agroclimatology-data,weather-variables,weather-data,earth-science,rstats,data-access,r-package",Photovoltaics and Solar Energy,"2024/05/03, 14:27:48",93,0,5,true,R,rOpenSci,ropensci,"R,TeX",https://docs.ropensci.org/nasapower,",https://zenodo.org/badge/latestdoi/109224461,https://doi.org/10.21105/joss.01035","2017/11/02, 06:08:53",2377,CUSTOM,113,2154,"2024/03/28, 01:44:02",0,11,84,9,39,0,0.6,0.002517623363545,"2024/02/02, 06:49:15",v4.2.0,0,4,false,,false,true,,,https://github.com/ropensci,https://ropensci.org/,,,,https://avatars.githubusercontent.com/u/1200269?v=4,,,
